raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,has_outdoor,floor,is_temporary,price_per_m2,snapshot_date,fingerprint
"room4rent - Ihr Zuhause auf Zeit_MUSIC BOX_Suite+ | 1100 Wien, 10. Bezirk, Favoriten, Bloch-Bauer-Promenade 19 | 39 m² | 2 Zimmer | Balkon | room4rent | € 1.450",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/room4rent-ihr-zuhause-auf-zeit-music-box-suite-861235779/,6,2026-01-13T10:50:55.732954,1450.0,39.0,2.0,1100.0,,,0,0,1,,,37.17948717948718,2026-01-13,9e653f2c16
"room4rent - Ihr Zuhause auf Zeit | Q-Tower / STANDARD | 1030 Wien, 03. Bezirk, Landstraße, Leopold-Böhm-Straße 5 | 29 m² | 1 Zimmer | Balkon | room4rent | € 1.080",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/room4rent-ihr-zuhause-auf-zeit-q-tower-standard-1923145665/,6,2026-01-13T10:50:55.716187,1080.0,29.0,1.0,1030.0,,,0,0,1,,,37.241379310344826,2026-01-13,54fdbd1d87
"Dachgeschoß mit Terrasse und Grünblick in klassischer Villa mitten in Hietzing. | 1130 Wien, 13. Bezirk, Hietzing | 75 m² | 3 Zimmer | Terrasse | ANOBIS IMMOBILIEN GmbH | € 1.460",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/dachgeschoss-mit-terrasse-und-gruenblick-in-klassischer-villa-mitten-in-hietzing-1095376599/,7,2026-01-13T10:51:03.998366,1460.0,75.0,3.0,1130.0,,,0,0,1,,,19.466666666666665,2026-01-13,744ad00d6d
"Moderne 3 Zimmer Wohnung ++ große Loggia ++ Gym ++ 7.OG | 1030 Wien, 03. Bezirk, Landstraße | 91 m² | 3 Zimmer | Loggia | Hubner Immobilien | € 1.833,76",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/moderne-3-zimmer-wohnung-grosse-loggia-gym-7-og-1735188745/,7,2026-01-13T10:51:04.014999,1833.76,91.0,3.0,1030.0,,,0,0,1,,,20.15120879120879,2026-01-13,5739208be0
"Repräsentative Penthouse-Wohnung | 1040 Wien, 04. Bezirk, Wieden | 184 m² | 4 Zimmer | Terrasse | Kokron Immobilien e.U. | € 4.854,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/repraesentative-penthouse-wohnung-1518419684/,7,2026-01-13T10:51:04.031791,4854.3,184.0,4.0,1040.0,,,0,0,1,,,26.382065217391304,2026-01-13,b5364a1232
"Helle 3-Zimmer-Wohnung in modernem Wohnkomplex | 1030 Wien, 03. Bezirk, Landstraße | 63 m² | 3 Zimmer | Balkon, Dachterrasse | Luxury Immobilien GmbH | € 1.840,55",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/helle-3-zimmer-wohnung-in-modernem-wohnkomplex-1090232015/,7,2026-01-13T10:51:04.047581,1840.55,63.0,3.0,1030.0,,,0,0,1,,,29.215079365079365,2026-01-13,1a3d67cf31
"Blueground ID505, Mariahilf | 1060 Wien, 06. Bezirk, Mariahilf, Mariahilfer Straße 47 | 104 m² | 3 Zimmer | Blueground Austria GmbH | € 2.330",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/blueground-id505-mariahilf-1082419257/,7,2026-01-13T10:51:04.062518,2330.0,104.0,3.0,1060.0,,,0,0,0,,,22.40384615384616,2026-01-13,8d2a11647a
"3 Zimmer Wohnung im Park - mit 2 Balkonen & Top Anbindung | 1130 Wien, 13. Bezirk, Hietzing, Stranzenberggasse | 82 m² | 3 Zimmer | Balkon | Gewerblicher Anbieter | € 1.600",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/3-zimmer-wohnung-im-park-mit-2-balkonen-top-anbindung-1271526784/,7,2026-01-13T10:51:04.077773,1600.0,82.0,3.0,1130.0,,,0,0,1,,,19.51219512195122,2026-01-13,5ce3540520
"Weitläufiges Wohnen im Herzen des 7. Bezirks! | 1070 Wien, 07. Bezirk, Neubau, Lindengasse 22 | 115 m² | 3 Zimmer | Balkon | 3SI Makler GmbH | € 1.999",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/weitlaeufiges-wohnen-im-herzen-des-7-bezirks-1708307649/,7,2026-01-13T10:51:03.966370,1999.0,115.0,3.0,1070.0,,,1,0,1,,,17.382608695652173,2026-01-13,2b1ffad313
"2-Zimmer Gartenwohnung (uneinsichtig) inkl. Garagenplatz | 1110 Wien, 11. Bezirk, Simmering, Dreherstraße | 46 m² | 2 Zimmer | Garten | Privat | € 930",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/2-zimmer-gartenwohnung-uneinsichtig-inkl-garagenplatz-859693492/,7,2026-01-13T10:51:03.698687,930.0,46.0,2.0,1110.0,,,0,0,1,,,20.217391304347824,2026-01-13,9c894f2562
"GRÜNSTÜCK 22 - hochwertiger Neubau in bester Lage! Verfügbar ab Februar. - WOHNTRAUM | 1220 Wien, 22. Bezirk, Donaustadt, Adelheid-Popp-Gasse 10 | 56 m² | 2 Zimmer | Terrasse, Balkon, Loggia | teamneunzehn-Gruppe | € 998,13",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenstueck-22-hochwertiger-neubau-in-bester-lage-verfuegbar-ab-februar-wohntraum-1713413379/,7,2026-01-13T10:51:03.592192,998.13,56.0,2.0,1220.0,,,1,0,1,,,17.82375,2026-01-13,3e166b5c10
"GRÜNSTÜCK 22 - hochwertige 3-Zimmer Neubauwohnung in bester Lage - ab sofort verfügbar. - WOHNTRAUM | 1220 Wien, 22. Bezirk, Donaustadt, Adelheid-Popp-Gasse 10 | 68 m² | 3 Zimmer | Terrasse, Balkon, Loggia | teamneunzehn-Gruppe | € 1.279,20",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenstueck-22-hochwertige-3-zimmer-neubauwohnung-in-bester-lage-ab-sofort-verfuegbar-wohntraum-1357924892/,6,2026-01-13T10:50:55.954360,1279.2,68.0,3.0,1220.0,,,1,0,1,,,18.81176470588236,2026-01-13,ab93ef6d8b
"Attraktive 2-Zimmer-Dachgeschosswohnung in zentraler Lage - Randhartingergasse 1100 Wien | 1100 Wien, 10. Bezirk, Favoriten, Randhartingergasse 9-11 | 43 m² | 2 Zimmer | teamneunzehn-Gruppe | € 849,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/attraktive-2-zimmer-dachgeschosswohnung-in-zentraler-lage-randhartingergasse-1100-wien-1683516467/,6,2026-01-13T10:50:55.652315,849.99,43.0,2.0,1100.0,,,0,0,0,,,19.767209302325583,2026-01-13,9cf2cae48a
"MODERNE BALKONWOHNUNG - SOFORT BEZIEHBAR | 1100 Wien, 10. Bezirk, Favoriten, Laxenburger Straße 84 | 50 m² | 2 Zimmer | Balkon, Loggia | Traumimmobilien.at | € 915",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/moderne-balkonwohnung-sofort-beziehbar-1035577650/,6,2026-01-13T10:50:55.667473,915.0,50.0,2.0,1100.0,,,0,0,1,,,18.3,2026-01-13,d9a244bbf8
"Exklusive Mietwohnungen in der Wigandgasse 37 - Historisches Flair im ""Freihof"" | 1190 Wien, 19. Bezirk, Döbling, Wigandgasse 37 | 35 m² | 2 Zimmer | teamneunzehn-Gruppe | € 1.395,57",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/exklusive-mietwohnungen-in-der-wigandgasse-37-historisches-flair-im-freihof-1596137989/,6,2026-01-13T10:50:55.683375,1395.57,35.0,2.0,1190.0,,,0,0,0,,,39.87342857142857,2026-01-13,30d1cd4fd6
"Exklusive Mietwohnungen in der Wigandgasse 37 - Historisches Flair im ""Freihof"" | 1190 Wien, 19. Bezirk, Döbling, Wigandgasse 37 | 134 m² | 3 Zimmer | Terrasse | teamneunzehn-Gruppe | € 4.328,87",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/exklusive-mietwohnungen-in-der-wigandgasse-37-historisches-flair-im-freihof-1535591403/,6,2026-01-13T10:50:55.699727,4328.87,134.0,3.0,1190.0,,,0,0,1,,,32.305,2026-01-13,8ac1e43b2d
"Wohnen bei der Mariahilfer Straße- Balkon, Ruhelage-Provisionsfrei | 1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Schwendergasse 17 | 42 m² | 2 Zimmer | Balkon | Privat | € 750",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/wohnen-bei-der-mariahilfer-strasse-balkon-ruhelage-provisionsfrei-1387344705/,7,2026-01-13T10:51:03.676647,750.0,42.0,2.0,1150.0,,,0,0,1,,,17.857142857142858,2026-01-13,490af4951b
"2-Zimmer DG-Wohnung (ca. 85m²) mit Terrassen (ca. 60m²) in einem NEUBAU. | 1030 Wien, 03. Bezirk, Landstraße, Mohsgasse | 85 m² | 2 Zimmer | Dachterrasse | Privat | € 1.650",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/2-zimmer-dg-wohnung-ca-85m-mit-terrassen-ca-60m-in-einem-neubau-825248755/,5,2026-01-13T10:50:48.167254,1650.0,85.0,2.0,1030.0,,,1,0,1,,,19.41176470588235,2026-01-13,232afd2aee
"Helle 2-Zimmer Genossenschaftswohnung | 1050 Wien, 05. Bezirk, Margareten | 57 m² | 2 Zimmer | Balkon | Privat | € 663,12",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/helle-2-zimmer-genossenschaftswohnung-1310682669/,6,2026-01-13T10:50:55.574280,663.12,57.0,2.0,1050.0,,,0,0,1,,,11.633684210526315,2026-01-13,2730314331
"Gemeinde Wohnung mit 2 Zimmer, Wohnticketsnummer : 42775/2024 | 1100 Wien, 10. Bezirk, Favoriten, Kempelengasse 5 | 61 m² | 2 Zimmer | Terrasse, Balkon | Privat | € 658,41",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/gemeinde-wohnung-mit-2-zimmer-wohnticketsnummer-42775-2024-1312659054/,6,2026-01-13T10:50:55.558879,658.41,61.0,2.0,1100.0,,,0,0,1,,,10.793606557377048,2026-01-13,e1b216d8de
